Date,Total Tested,Total Cases,Total Deaths,Total Recovered,Newly Tested,New Cases,New Deaths,Newly Recovered
2020-03-08,111,3,0,0,,,0,
2020-03-09,0,3,0,0,,,0,
2020-03-10,0,3,0,0,,,0,
2020-03-11,142,3,0,2,,,0,
2020-03-12,163,3,0,2,,,0,
2020-03-13,187,3,0,2,,,0,
2020-03-14,211,5,0,3,,,0,
2020-03-15,231,5,0,3,,,0,
2020-03-16,241,8,0,3,,,0,0
2020-03-17,277,10,0,2,,,0,0
2020-03-18,351,14,1,3,10,4,1,1
2020-03-19,397,17,1,3,46,3,0,0
2020-03-20,433,20,1,3,36,3,0,0
2020-03-21,433,24,2,3,36,4,1,2
2020-03-22,564,27,2,5,27,3,0,0
2020-03-23,620,33,3,5,56,6,1,0
2020-03-24,712,39,4,5,92,6,1,0
2020-03-25,794,39,5,5,82,0,1,6
2020-03-26,920,44,5,11,126,5,0,0
2020-03-27,1026,48,5,11,106,4,0,0
2020-03-28,1076,48,5,15,47,0,0,4
2020-03-29,"1,185",48,5,15,109,0,0,4
2020-03-30,"1,338",49,5,19,153,1,0,4
2020-03-31,"1,602",51,5,25,140,2,0,6
2020-04-01,"1,759",54,6,26,157,1,1,1
2020-04-02,"1,906",56,6,26,141,2,0,0
2020-04-03,"2,113",61,6,26,203,5,0,0
2020-04-04,"2,547",70,8,30,434,9,2,4
2020-04-05,"2,914",88,9,33,367,18,1,3
2020-04-06,"3,610",164,17,33,468,41,5,0
2020-04-07,"4,289",164,17,33,792,41,5,0
2020-04-08,"5,194",218,20,33,981,54,3,0
2020-04-09,"6,175",330,21,33,905,112,1,0
2020-04-10,"7,359",424,27,33,1184,94,6,0
2020-04-11,"8,313",482,30,36,954,58,3,3
2020-04-12,"9,653",621,34,39,1340,139,4,3
2020-04-13,"11,223",803,39,42,1570,182,5,3
2020-04-14,"13,128","1,012",46,42,1905,209,7,0
2020-04-15,"14,868","1,231",50,49,1740,219,4,7
2020-04-16,"17,003","1,572",60,49,2135,341,10,0
2020-04-17,"19,193","1,838",75,58,2190,266,15,9
2020-04-18,"21,307","2,144",84,66,2114,306,9,8
2020-04-19,"23,941","2,456",91,75,"2,634",312,7,9
2020-04-20,"26,604","2,948",101,85,"2,779",492,10,10
2020-04-21,"29,578","3,382",110,87,"2,974",434,9,2
2020-04-22,"32,630","3,772",120,92,"3,043",390,10,5
2020-04-23,"36,090","4,186",127,108,"3,460",414,7,16
2020-04-24,"39,476","4,689",131,112,"3,386",503,4,4
2020-04-25,"43,113","4,998",140,113,"3,637",309,9,1
2020-04-26,"46,589","5,416",145,122,"3,476",418,5,9
2020-04-27,"50,401","5,913",152,131,"3,812",497,7,9
2020-04-28,"54,733","6,462",155,139,"4,332",549,3,8
2020-04-29,"59,701","7,103",163,150,"4,968",641,8,11
2020-04-30,"64,666","7,667",168,160,"4,965",564,5,10
2020-05-01,"70,239","8,238",170,174,"5,573",571,2,14
2020-05-02,"76,066","8,790",175,177,"5,827",552,5,3
2020-05-03,"81,434","9,455",177,"1,063","5,368",665,2,886
2020-05-04,"87,694","10,143",182,"1,209","6,260",688,5,146
2020-05-05,"93,405","10,929",183,"1,403","5,711",786,1,194
2020-05-06,"99,646","11,719",186,1.403,"6,241",790,3,194
2020-05-07,"105,513","12,425",199,"1,910","5,867",706,13,507
2020-05-08,"111,454","13,134",206,"2,101","5,941",709,7,191
2020-05-09,"116,919","13,770",214,"2,414","5,518",636,8,313
2020-05-10,"122,657","14,657",228,"2,650","5,738",887,14,236
2020-05-11,"129,865","15,691",239,"2,902","7,208","1,034",11,252
2020-05-12,"136,638","16,660",250,"3,147","6,773",969,11,245
2020-05-13,"144,538","17,822",269,"3,361","7,900","1,162",19,214
